FeldShort,Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Total,Total,SO,abt-total,2165,37,2128,1242,21,1221,923,16,907
Total,Total,SO,EFZ,1877,35,1842,1104,21,1083,773,14,759
Total,Total,SO,EBA,288,2,286,138,0,138,150,2,148
Total,Total,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,BS,abt-total,2042,71,1971,1046,40,1006,996,31,965
Total,Total,BS,EFZ,1751,66,1685,926,36,890,825,30,795
Total,Total,BS,EBA,291,5,286,120,4,116,171,1,170
Total,Total,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,BL,abt-total,2336,206,2130,1441,122,1319,895,84,811
Total,Total,BL,EFZ,2054,206,1848,1280,122,1158,774,84,690
Total,Total,BL,EBA,282,0,282,161,0,161,121,0,121
Total,Total,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,SH,abt-total,886,20,866,514,14,500,372,6,366
Total,Total,SH,EFZ,786,20,766,449,14,435,337,6,331
Total,Total,SH,EBA,100,0,100,65,0,65,35,0,35
Total,Total,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,AR,abt-total,474,0,474,240,0,240,234,0,234
Total,Total,AR,EFZ,421,0,421,210,0,210,211,0,211
Total,Total,AR,EBA,53,0,53,30,0,30,23,0,23
Total,Total,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,AI,abt-total,152,0,152,79,0,79,73,0,73
Total,Total,AI,EFZ,147,0,147,78,0,78,69,0,69
Total,Total,AI,EBA,5,0,5,1,0,1,4,0,4
Total,Total,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,SG,abt-total,5661,135,5526,3184,67,3117,2477,68,2409
Total,Total,SG,EFZ,5145,135,5010,2878,67,2811,2267,68,2199
Total,Total,SG,EBA,516,0,516,306,0,306,210,0,210
Total,Total,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,GR,abt-total,1975,12,1963,1124,8,1116,851,4,847
Total,Total,GR,EFZ,1809,10,1799,1028,6,1022,781,4,777
Total,Total,GR,EBA,166,2,164,96,2,94,70,0,70
Total,Total,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,AG,abt-total,5825,204,5621,3360,150,3210,2465,54,2411
Total,Total,AG,EFZ,5251,204,5047,3043,150,2893,2208,54,2154
Total,Total,AG,EBA,574,0,574,317,0,317,257,0,257
Total,Total,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,TG,abt-total,2416,59,2357,1456,49,1407,960,10,950
Total,Total,TG,EFZ,2173,59,2114,1314,49,1265,859,10,849
Total,Total,TG,EBA,243,0,243,142,0,142,101,0,101
Total,Total,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,TI,abt-total,3709,1364,2345,2187,636,1551,1522,728,794
Total,Total,TI,EFZ,3447,1342,2105,2052,632,1420,1395,710,685
Total,Total,TI,EBA,262,22,240,135,4,131,127,18,109
Total,Total,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,VD,abt-total,6371,1172,5199,3751,659,3092,2620,513,2107
Total,Total,VD,EFZ,5968,1172,4796,3506,659,2847,2462,513,1949
Total,Total,VD,EBA,403,0,403,245,0,245,158,0,158
Total,Total,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,VS,abt-total,3280,612,2668,1975,281,1694,1305,331,974
Total,Total,VS,EFZ,3000,571,2429,1821,272,1549,1179,299,880
Total,Total,VS,EBA,247,10,237,145,1,144,102,9,93
Total,Total,VS,nReglementiert,33,31,2,9,8,1,24,23,1
Total,Total,NE,abt-total,2204,561,1643,1260,334,926,944,227,717
Total,Total,NE,EFZ,2049,561,1488,1175,334,841,874,227,647
Total,Total,NE,EBA,155,0,155,85,0,85,70,0,70
Total,Total,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,GE,abt-total,3835,1578,2257,2406,994,1412,1429,584,845
Total,Total,GE,EFZ,3548,1551,1997,2225,985,1240,1323,566,757
Total,Total,GE,EBA,287,27,260,181,9,172,106,18,88
Total,Total,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,JU,abt-total,1021,244,777,607,136,471,414,108,306
Total,Total,JU,EFZ,937,229,708,555,129,426,382,100,282
Total,Total,JU,EBA,84,15,69,52,7,45,32,8,24
Total,Total,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,,abt-total,58,37,21,24,13,11,34,24,10
Musik_Kunst,Musik und darstellende Kunst,,EFZ,58,37,21,24,13,11,34,24,10
Musik_Kunst,Musik und darstellende Kunst,,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,ZH,abt-total,20,0,20,10,0,10,10,0,10
Musik_Kunst,Musik und darstellende Kunst,ZH,EFZ,20,0,20,10,0,10,10,0,10
Musik_Kunst,Musik und darstellende Kunst,ZH,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,BE,abt-total,1,0,1,1,0,1,0,0,0
Musik_Kunst,Musik und darstellende Kunst,BE,EFZ,1,0,1,1,0,1,0,0,0
Musik_Kunst,Musik und darstellende Kunst,BE,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,LU,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,LU,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,LU,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,UR,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,UR,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,UR,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,SZ,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,SZ,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,SZ,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,OW,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,OW,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,OW,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,NW,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,NW,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,NW,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,GL,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,GL,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,GL,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,ZG,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,ZG,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,ZG,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,FR,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,FR,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,FR,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,SO,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,SO,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,SO,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,BS,abt-total,19,19,0,6,6,0,13,13,0
Musik_Kunst,Musik und darstellende Kunst,BS,EFZ,19,19,0,6,6,0,13,13,0
Musik_Kunst,Musik und darstellende Kunst,BS,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,BL,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,BL,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,BL,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,SH,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,SH,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,SH,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,AR,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,AR,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,AR,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,AI,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,AI,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,AI,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,SG,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,SG,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,SG,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,GR,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,GR,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,GR,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,AG,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,AG,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,AG,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,TG,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,TG,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,TG,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,TI,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,TI,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,TI,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,VD,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,VD,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,VD,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,VS,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,VS,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,VS,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,NE,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,NE,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,NE,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,GE,abt-total,18,18,0,7,7,0,11,11,0
Musik_Kunst,Musik und darstellende Kunst,GE,EFZ,18,18,0,7,7,0,11,11,0
Musik_Kunst,Musik und darstellende Kunst,GE,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,JU,abt-total,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,JU,EFZ,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,JU,EBA,0,0,0,0,0,0,0,0,0
Musik_Kunst,Musik und darstellende Kunst,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,,abt-total,1365,414,951,713,192,521,652,222,430
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,,EFZ,1334,414,920,693,192,501,641,222,419
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,,EBA,31,0,31,20,0,20,11,0,11
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,ZH,abt-total,171,0,171,91,0,91,80,0,80
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,ZH,EFZ,164,0,164,85,0,85,79,0,79
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,ZH,EBA,7,0,7,6,0,6,1,0,1
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,BE,abt-total,183,18,165,89,10,79,94,8,86
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,BE,EFZ,181,18,163,89,10,79,92,8,84
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,BE,EBA,2,0,2,0,0,0,2,0,2
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,LU,abt-total,82,27,55,44,10,34,38,17,21
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,LU,EFZ,80,27,53,43,10,33,37,17,20
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,LU,EBA,2,0,2,1,0,1,1,0,1
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,UR,abt-total,5,0,5,0,0,0,5,0,5
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,UR,EFZ,5,0,5,0,0,0,5,0,5
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,UR,EBA,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,SZ,abt-total,7,0,7,2,0,2,5,0,5
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,SZ,EFZ,7,0,7,2,0,2,5,0,5
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,SZ,EBA,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,OW,abt-total,7,0,7,2,0,2,5,0,5
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,OW,EFZ,7,0,7,2,0,2,5,0,5
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,OW,EBA,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,NW,abt-total,10,0,10,6,0,6,4,0,4
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,NW,EFZ,10,0,10,6,0,6,4,0,4
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,NW,EBA,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,GL,abt-total,1,0,1,0,0,0,1,0,1
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,GL,EFZ,1,0,1,0,0,0,1,0,1
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,GL,EBA,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,ZG,abt-total,25,0,25,16,0,16,9,0,9
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,ZG,EFZ,24,0,24,15,0,15,9,0,9
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,ZG,EBA,1,0,1,1,0,1,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,FR,abt-total,68,37,31,35,17,18,33,20,13
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,FR,EFZ,68,37,31,35,17,18,33,20,13
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,FR,EBA,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,SO,abt-total,33,0,33,17,0,17,16,0,16
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,SO,EFZ,30,0,30,14,0,14,16,0,16
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,SO,EBA,3,0,3,3,0,3,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,BS,abt-total,27,0,27,12,0,12,15,0,15
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,BS,EFZ,26,0,26,12,0,12,14,0,14
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,BS,EBA,1,0,1,0,0,0,1,0,1
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,BL,abt-total,21,0,21,9,0,9,12,0,12
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,BL,EFZ,21,0,21,9,0,9,12,0,12
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,BL,EBA,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,SH,abt-total,14,0,14,7,0,7,7,0,7
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,SH,EFZ,13,0,13,7,0,7,6,0,6
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,SH,EBA,1,0,1,0,0,0,1,0,1
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,AR,abt-total,6,0,6,2,0,2,4,0,4
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,AR,EFZ,6,0,6,2,0,2,4,0,4
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,AR,EBA,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,AI,abt-total,2,0,2,0,0,0,2,0,2
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,AI,EFZ,2,0,2,0,0,0,2,0,2
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,AI,EBA,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,SG,abt-total,80,12,68,37,0,37,43,12,31
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,SG,EFZ,73,12,61,32,0,32,41,12,29
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,SG,EBA,7,0,7,5,0,5,2,0,2
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,GR,abt-total,30,0,30,16,0,16,14,0,14
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,GR,EFZ,30,0,30,16,0,16,14,0,14
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,GR,EBA,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,AG,abt-total,75,0,75,46,0,46,29,0,29
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,AG,EFZ,72,0,72,44,0,44,28,0,28
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,AG,EBA,3,0,3,2,0,2,1,0,1
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,TG,abt-total,52,0,52,38,0,38,14,0,14
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,TG,EFZ,51,0,51,37,0,37,14,0,14
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,TG,EBA,1,0,1,1,0,1,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,TI,abt-total,46,22,24,23,7,16,23,15,8
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,TI,EFZ,46,22,24,23,7,16,23,15,8
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,TI,EBA,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,VD,abt-total,222,158,64,116,82,34,106,76,30
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,VD,EFZ,220,158,62,115,82,33,105,76,29
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,VD,EBA,2,0,2,1,0,1,1,0,1
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,VS,abt-total,74,45,29,45,23,22,29,22,7
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,VS,EFZ,73,45,28,45,23,22,28,22,6
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,VS,EBA,1,0,1,0,0,0,1,0,1
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,NE,abt-total,49,39,10,25,21,4,24,18,6
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,NE,EFZ,49,39,10,25,21,4,24,18,6
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,NE,EBA,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,GE,abt-total,71,56,15,31,22,9,40,34,6
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,GE,EFZ,71,56,15,31,22,9,40,34,6
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,GE,EBA,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,JU,abt-total,4,0,4,4,0,4,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,JU,EFZ,4,0,4,4,0,4,0,0,0
Techniken_Medienproduktion,Audiovisuelle Techniken und Medienproduktion,JU,EBA,0,0,0,0,0,0,0,0,0
